Building Number,ADDRESS,Block #,Red Tags,TAG_COLOR,Building Use,Building Area (sqft),Year Built,Age (years),Value ($),Permit Issued Date,Permit Finaled Date,Time Interval (days),Time Interval (months),INITIAL_DAMAGE_DESCRIPTION,Chimney,Foundation,Damage State,Latitude,Longitude,PH_ENGLISH,PH_NO18UNDER,PASIAN,PHISLAT,PAFRICAN,INCOME,PHU_OWNED,PHIGHSCH_DIPLOMA,,
493,2540 GREENWOOD CT,West,0,Yellow,Residential,1197,1967,49,"$491,700",9/15/14,9/22/14,7,0.2,Loose roofing shingles,0,0,1,38.307854,-122.31693,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
494,3173 KINGSTON AVE,West,0,Yellow,Residential,1218,1959,57,"$509,400",9/17/14,10/30/14,43,1.4,chimney broke and fell at roof line in rear of home,1,0,2,38.306221,-122.319472,98.16513761,73.70030581,0,6.701030928,0,56206,88.37920489,87.35244519,,
495,2489 CREEKSIDE AVE,Central,0,Yellow,Residential,1618,1968,48,"$567,900",NaN,NaN,NaN,NaN,"Top portion of chimney is leaning, avoid area around chimney, front porch pilaster and brick leaning and displaced",1,0,2,38.30721,-122.319073,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
496,2348 LONE OAK AVE,Central,1,Red,Residential,1253,1958,58,"$447,100",demolition 9/3/14; replace carport 3/4/15; reroof 7/23/15,demolition NaN; carport finaled on 8/5/15; reroof finaled on 8/7/15,demolition NaN; carport 154 days; reroof 15 days,demolition NaN; carport 5 months; reroof 0.5 months,carport failed,0,0,4,38.307126,-122.315417,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
497,3307 SHADOW HILL LN,West,0,Yellow,Residential,1887,1988,28,"$637,500",NaN,NaN,NaN,NaN,"side fence fell over, cracking in entry tile work, front brick cracked by sidewalk",0,0,2,38.302761,-122.317426,98.16513761,73.70030581,0,6.701030928,0,56206,88.37920489,87.35244519,,
498,2171 W LINCOLN AVE,Central,1,Red,Residential,2500,NaN,NaN,"$1,054,000",foundation 4/20/15; remodel 8/13/15,foundation finaled on 1/28/16; remodel finaled on 1/25/16,foundation 283 days; remodel 165 days,foundation 9.4 months; remodel 5.5 months,"collapse, racking",0,0,4,38.305864,-122.314563,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
499,3107 BROWNS VALLEY RD,West,1,Red,Nature Center,5000,NaN,NaN,NaN,raise building 9/15/14; repair deck and ramp 1/26/15,building raise NaN; deck and ramp NaN,NaN,NaN,slipped off foundations/jacks tie down system,0,1,4,38.303158,-122.320231,72.25609756,55.48780488,0,45.58441558,0.38961039,22808,37.5,75.78740157,,
500,3136 KINGSTON AVE,West,0,Yellow,Residential,1064,1959,57,"$473,800",NaN,NaN,NaN,NaN,chimney fell at roof line in front wall,1,0,2,38.305391,-122.317598,98.16513761,73.70030581,0,6.701030928,0,56206,88.37920489,87.35244519,,
501,2132 W LINCOLN AVE,Central,0,Yellow,Residential,5103,1898,118,"$920,500",1/14/15,expired on 7/26/15,NaN,NaN,top of chimney fallen off of roof,1,0,2,38.306009,-122.311897,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
502,25 LONE OAK CT,Central,0,Yellow,Residential,2992,1990,26,"$812,600",9/2/14,11/14/14,72,2.4,Chimney damaged,0,0,1,38.306418,-122.311688,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
503,2118 LONE OAK AVE,Central,0,Yellow,Residential,2762,1985,31,"$730,500",9/16/14,10/10/14,24,0.8,"chimney falling haz, being demo; has permit; minor stucco cracking; garage stucco spalling - no occ around base of chimney",1,0,2,38.307765,-122.312908,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
504,2151 WAVERLY ST,Central,0,Yellow,Residential,1774,1957,59,"$567,600",NaN,NaN,NaN,NaN,chimney fell,1,0,2,38.308157,-122.313879,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
505,2136 WAVERLY ST,Central,0,Yellow,Residential,1679,1957,59,"$550,800",9/18/14,expired on 7/29/16,NaN,NaN,chimney fell,1,0,2,38.308575,-122.313445,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
506,2200 EUCLID AVE,Central,0,Yellow,Residential,1314,1957,59,"$494,100",9/17/14,9/23/14,6,0.2,chimney falling hazard,1,0,2,38.309525,-122.313668,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
507,2299 W PARK AVE,Central,0,Yellow,Residential,1200,1950,66,"$438,700",NaN,NaN,NaN,NaN,"courtyard CMU block wall fallen over, leaning area",0,0,2,38.309873,-122.315236,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
508,2246 W PARK AVE,Central,0,Yellow,Residential,2128,1959,57,"$594,200",11/4/14,expired on 5/3/15,NaN,NaN,Chimney,0,0,1,38.310606,-122.314014,97.58454106,65.94202899,1.018181818,43.70909091,0,25429,59.42028986,80.30127462,,
509,2190 EUCLID AVE,Central,0,Yellow,Residential,1302,1953,63,"$470,700",3/6/15,5/26/16,440,14.7,top portions of chimney collapsed into neighbors yard,1,0,2,38.309798,-122.31215,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
510,2137 EUCLID AVE,Central,0,Yellow,Residential,1695,1951,65,"$549,900",10/23/14,1/21/15,88,2.9,owner in process of removing chimney debris - do not use fireplace,1,0,2,38.30969,-122.310401,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
511,1969 WAVERLY ST,Central,0,Yellow,Residential,1416,1955,61,"$493,600",9/29/14,10/22/14,23,0.8,chimney fell,1,0,2,38.309122,-122.308235,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
512,1961 WAVERLY ST,Central,0,Yellow,Residential,1416,1955,61,"$523,700",NaN,NaN,NaN,NaN,chimney broken,1,0,1,38.309231,-122.307989,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
513,2543 SOLANO AVE,Central,0,Yellow,Residential,1287,1983,33,"$401,000",10/8/14,10/14/14,6,0.2,broken trusses/cracked stucco/repair trusses and patch stucco,0,0,3,38.309294,-122.306006,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
514,1958 WAVERLY ST,Central,0,Yellow,Residential,2868,1900,116,"$708,500",12/30/14,expired on 9/16/15,NaN,NaN,"house shifted south 3-4"" basement level to first floor - no occupancy permitted except to retrieve belongings, enter only through north entrance",0,0,3,38.309781,-122.307674,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
515,2601 SOLANO AVE,Central,0,Yellow,Commercial,1800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,signs of separation of stone facade from struc; avoid use of area under facade (Gary's Automotive),0,0,2,38.31003,-122.306311,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
516,2036 EUCLID AVE,Central,0,Yellow,Residential,1265,1952,64,"$549,100",remodel 12/10/14; reroof 2/12/15,remodel finaled on 5/21/15; reroof finaled on 4/3/15,remodel 162 days; reroof 50 days,remodel 5.4 months; reroof 1.7 months,Chimney collapsed,0,0,2,38.310629,-122.307611,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
517,2020 EUCLID AVE,Central,0,Yellow,Residential,1620,1953,63,"$535,600",NaN,NaN,NaN,NaN,chimney section above roof line has been removed,1,0,2,38.310727,-122.307073,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
518,2010 EUCLID AVE,Central,0,Yellow,Residential,1280,1953,63,"$476,600",9/24/14,9/25/14,1,0.0,cracked with loose section of chimney,1,0,1,38.310777,-122.306804,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
519,2793 SOLANO AVE,Central,0,Yellow,Residential,1052,1936,80,"$504,000",12/19/14,1/28/15,39,1.3,chimney broke at roofline; debris already removed,1,0,2,38.311481,-122.306644,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
520,2043 MORLAN DR,Central,0,Yellow,Residential,1370,1955,61,"$483,100",NaN,NaN,NaN,NaN,"chimney collapsed above roofline, interior fireplace and chimney covered with drywall prior to earthquake - no restrictions",1,0,2,38.312022,-122.309903,97.58454106,65.94202899,1.018181818,43.70909091,0,25429,59.42028986,80.30127462,,
521,2039 MORLAN DR,Central,0,Yellow,Residential,1258,1955,61,"$454,700",NaN,NaN,NaN,NaN,"bricks and old flue at side of garage, unable to see chimney location from street",1,0,2,38.3121,-122.30949,97.58454106,65.94202899,1.018181818,43.70909091,0,25429,59.42028986,80.30127462,,
522,2015 MORLAN DR,Central,0,Yellow,Residential,684,1950,66,"$343,900",NaN,NaN,NaN,NaN,obvious chimney brick displacement above roof,1,0,2,38.312436,-122.307638,97.58454106,65.94202899,1.018181818,43.70909091,0,25429,59.42028986,80.30127462,,
523,2883 SOLANO AVE,Central,0,Yellow,Commercial,3750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"CMU fence fell over; chimney broken at shoulder, all brick on side yard",1,0,2,38.312516,-122.306948,97.58454106,65.94202899,1.018181818,43.70909091,0,25429,59.42028986,80.30127462,,
524,2012 MORLAN DR,Central,0,Yellow,Commercial,1172,1952,64,"$440,600",4/3/15,expired on 10/19/15,NaN,NaN,"CMU chimney with displacement above roof line, obvious cracks at mortar - restrict area around chimney until it is evaluated completely",1,0,2,38.312838,-122.307718,97.58454106,65.94202899,1.018181818,43.70909091,0,25429,59.42028986,80.30127462,,
525,2132 W PARK AVE,Central,1,Red,Residential,880,1954,62,"$476,200",10/24/14,4/24/15,180,6.0,Garage collapse,0,0,3,38.311079,-122.311263,97.58454106,65.94202899,1.018181818,43.70909091,0,25429,59.42028986,80.30127462,,
526,2114 W PARK AVE,Central,1,Red,Residential,2628,1953,63,"$704,600",7/30/15,NaN,NaN,NaN,"(3) 4x12 failed & slid off onto sider, stuc shifted 16""; door jammed, cracks",0,0,4,38.31157,-122.310527,97.58454106,65.94202899,1.018181818,43.70909091,0,25429,59.42028986,80.30127462,,
527,2029 W PUEBLO AVE,Central,1,Red,Residential,2332,1950,66,"$557,900",12/30/14,expired on 10/26/2015,NaN,NaN,"needs structural engineer - repair of staircase, garage repairs needed",0,0,4,38.313405,-122.308584,97.58454106,65.94202899,1.018181818,43.70909091,0,25429,59.42028986,80.30127462,,
528,3027 BROWNS VALLEY RD,West,1,Red,Residential,5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Carports collapsed - 1 of 9 carports left standing,0,0,4,38.301912,-122.316142,72.25609756,55.48780488,0,45.58441558,0.38961039,22808,37.5,75.78740157,,
529,1008 ROBINSON LN,West,0,Yellow,Residential,1456,1951,65,"$495,800",NaN,NaN,NaN,NaN,"Chimney damaged-joint failure near roof, keep away from exterior chimney area",1,0,2,38.302679,-122.316605,71.26696833,44.57013575,1.325301205,71.3253012,0.180722892,18673,12.8959276,61.87419769,,
530,1016 ROBINSON LN,West,0,Yellow,Residential,3699,1930,86,"$828,600",NaN,NaN,NaN,NaN,Fallen chimney ,1,0,2,38.303168,-122.316459,71.26696833,44.57013575,1.325301205,71.3253012,0.180722892,18673,12.8959276,61.87419769,,
531,1027 HUDSON LN,West,0,Yellow,Residential,1111,1960,56,"$546,500",9/9/14,expired on 3/10/15,NaN,NaN,Cracked chimney - minor damage,1,0,1,38.302909,-122.314683,71.26696833,44.57013575,1.325301205,71.3253012,0.180722892,18673,12.8959276,61.87419769,,
532,1055 HUDSON LN,West,0,Yellow,Residential,2023,1963,53,"$651,700",repair chimney 11/1/14; remove upper portion cap and seal fireplace opening 1/29/15,chimney expired on 4/30/15; fireplace seal expired on 8/5/15,NaN,NaN,Cracked chimney - minor damage,1,0,1,38.303368,-122.314434,71.26696833,44.57013575,1.325301205,71.3253012,0.180722892,18673,12.8959276,61.87419769,,
533,1053 JOHNSTON ST,West,0,Yellow,Residential,1588,1962,54,"$539,800",NaN,NaN,NaN,NaN,foundation cracks - eng needs eval-cracked chimney,1,1,3,38.30376,-122.314657,71.26696833,44.57013575,1.325301205,71.3253012,0.180722892,18673,12.8959276,61.87419769,,
534,2165 W LINCOLN AVE,West,0,Yellow,Residential,1780,1965,51,"$567,100",NaN,NaN,NaN,NaN,"cracked fdn, vertical support tilted off conc block, overhang not supported",0,0,3,38.305071,-122.313584,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
535,2159 W LINCOLN AVE,West,0,Yellow,Residential,3750,NaN,NaN,"$1,054,000",NaN,NaN,NaN,NaN,"addition slipped off fdn, overhand vertical support damaged, structure leaning, avoid area below overhang & addition",0,0,2,38.305456,-122.313646,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
536,2145 W LINCOLN AVE,West,0,Yellow,Residential,2279,1950,66,"$661,500",NaN,NaN,NaN,NaN,"rear chimney cracked & leaning, falling hazard",1,0,2,38.305657,-122.313156,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
537,2105 W LINCOLN AVE,Central,0,Yellow,Residential,2400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"chimney cracked, no overhead hazard",1,0,2,38.305678,-122.310882,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
538,2982 1ST ST,West,0,Yellow,Residential,7394,1929,87,"$1,249,500",NaN,NaN,NaN,NaN,"Gas smell, light, by meter. Shut off gas. Building leaning, chimney cracked, Verify structural retrofit in basement was permitted",1,0,3,38.301886,-122.313585,71.26696833,44.57013575,1.325301205,71.3253012,0.180722892,18673,12.8959276,61.87419769,,
539,2930 1ST ST,Central,0,Yellow,Residential,1484,1966,50,"$513,700",NaN,NaN,NaN,NaN,brick veneer cracked and bowing outward - fall hazard to residents on front porch,0,0,2,38.301181,-122.311738,71.26696833,44.57013575,1.325301205,71.3253012,0.180722892,18673,12.8959276,61.87419769,,
540,2087 W F ST,Central,0,Yellow,Residential,2152,1952,64,"$634,900",NaN,NaN,NaN,NaN,3' brick wall fell over,0,0,3,38.303165,-122.309424,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
541,7 HALL CT,Central,0,Yellow,Residential,2500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,corner brick veneer at garage cracked through to main structure,0,0,2,38.304005,-122.309442,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
542,2102 W F ST,Central,0,Yellow,Residential,400,NaN,NaN,"$534,800",9/2/14,expired on 6/14/15,NaN,NaN,House under construction,0,0,2,38.304931,-122.308439,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
543,2614 1ST ST,West,0,Yellow,Residential,1250,NaN,NaN,"$586,656",NaN,NaN,NaN,NaN,crack foundation and stairs/chimney and foundation some stairs replacement - engineer review required,1,1,2,38.300709,-122.306335,71.26696833,44.57013575,1.325301205,71.3253012,0.180722892,18673,12.8959276,61.87419769,,
544,421 COFFIELD AVE,Central,0,Yellow,Residential,1422,1965,51,"$475,900",9/19/14,10/6/14,17,0.6,"Broken windows near deck supports, some area leaving and/or shifted. Stay off of deck wall, supports are repaired",0,0,2,38.302365,-122.303946,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
545,471 COFFIELD AVE,Central,0,Yellow,Residential,1599,1979,37,"$534,100",9/9/14,11/13/14,64,2.1,"chimney on side of home broken off at roof, damaged roofing in area below, damaged and displaced roof tile in front",1,0,2,38.303545,-122.304419,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
546,2336 SOLANO AVE,Central,0,Yellow,Residential,2500,NaN,NaN,NaN,9/23/14,10/17/14,24,0.8,"Slab on grade-sunk 5"" consturction work on-going to raise slab. Will need bldg inspec. Slab re-contruction on-going bldg, inspec. Approval required to occupy",0,0,2,38.304936,-122.306063,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
547,515 DONWOOD LN,Central,0,Yellow,Residential,2099,1972,44,"$647,500",NaN,NaN,NaN,NaN,damage rafters; chimney fell over and damaged a few roof rafters,1,0,2,38.304303,-122.306279,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
548,2026 W F ST,Central,0,Yellow,Residential,2310,1920,96,"$726,600",11/17/14,2/26/15,99,3.3,Cracking Foundation,0,0,3,38.303843,-122.306166,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
549,2039 W F ST,Central,1,Red,Residential,1546,1927,89,"$517,000",NaN,NaN,NaN,NaN,garage only,0,0,4,38.303222,-122.30657,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
550,2016 W F ST,Central,0,Yellow,Residential,1620,1931,85,"$549,100",10/15/14,10/31/14,15,0.5,"chimney broken at roof line, interior",1,0,1,38.303927,-122.305641,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
551,2617 1ST ST,South,1,Red,Residential,1286,1930,86,"$722,100",NaN,NaN,NaN,NaN,"severe damage to structure, roof shingles falling, front porch unsafe",0,0,4,38.299235,-122.307006,93.44262295,50.16393443,0,61.81818182,3.295454545,21169,51.47540984,79.71530249,,
552,2629 1ST ST,South,1,Red,Commercial,unclear,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SFR foundation,0,1,4,38.299887,-122.308033,93.44262295,50.16393443,0,61.81818182,3.295454545,21169,51.47540984,79.71530249,,
553,2864 KILBURN AVE,South,0,Yellow,Residential,1132,1955,61,"$433,600",10/17/14,4/14/15,177,5.9,Cracked chimney,1,0,1,38.299122,-122.310795,93.44262295,50.16393443,0,61.81818182,3.295454545,21169,51.47540984,79.71530249,,
554,2859 KILBURN AVE,South,0,Yellow,Residential,855,1941,75,"$312,400",NaN,NaN,NaN,NaN,"Canopy area leaning, minor cracks observed. Stay clear, tighten ceiling fans",0,0,2,38.298665,-122.310784,93.44262295,50.16393443,0,61.81818182,3.295454545,21169,51.47540984,79.71530249,,
555,3120 LAUREL ST,South,0,Yellow,Residential,765,1941,75,"$369,000",11/25/14,expired on 5/24/15,NaN,NaN,"Porch post-shifted location 2"" @ base. Buckled ceiling panel @ porch",0,0,2,38.297469,-122.313966,93.44262295,50.16393443,0,61.81818182,3.295454545,21169,51.47540984,79.71530249,,
556,165 HOMEWOOD AVE,South,0,Yellow,Residential,855,1941,75,"$338,500",NaN,NaN,NaN,NaN,chimney damaged and separated from home/avoid front yard adjacent to chimney,1,0,2,38.295747,-122.312604,90.97744361,36.65413534,0,70.1585504,0,19937,73.87218045,60.58467742,,
557,51 DE WITT AVE,South,0,Yellow,School,1200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Damaged concrete stem wall floor has dropped above footing,0,0,2,38.296285,-122.311957,90.97744361,36.65413534,0,70.1585504,0,19937,73.87218045,60.58467742,,
558,31 BELLEVUE AVE,South,0,Yellow,Residential,1014,1941,75,"$371,700",NaN,NaN,NaN,NaN,Large cracks in masonry wall. Limited access to remove belongings,0,0,3,38.29604,-122.309954,90.97744361,36.65413534,0,70.1585504,0,19937,73.87218045,60.58467742,,
559,2960 LAUREL ST,South,0,Yellow,Residential,1491,2001,15,"$513,700",10/17/14,12/16/14,59,2.0,"botom plate garage - shifted 2""",0,0,3,38.294197,-122.312207,90.97744361,36.65413534,0,70.1585504,0,19937,73.87218045,60.58467742,,
560,2724 LAUREL ST,South,0,Yellow,Residential,1207,1930,86,"$428,800",NaN,NaN,NaN,NaN,"damage to walls, rafters in carport, archways - no one home - no restrictions",0,0,2,38.294246,-122.307043,90.97744361,36.65413534,0,70.1585504,0,19937,73.87218045,60.58467742,,
561,20 CORNWALL AVE,South,0,Yellow,Residential,1233,1941,75,"$428,000",NaN,NaN,NaN,NaN,Chimney Down,0,0,2,38.295752,-122.306195,90.97744361,36.65413534,0,70.1585504,0,19937,73.87218045,60.58467742,,
562,15 CORNWALL AVE,South,0,Yellow,Residential,1089,1941,75,"$342,100",4/6/15,expired on 10/6/15,NaN,NaN,Chimney fall onto roof. Broke through adjacent car port roof,0,0,2,38.295888,-122.30649,90.97744361,36.65413534,0,70.1585504,0,19937,73.87218045,60.58467742,,
563,560 FOOTHILL BLVD,South,0,Yellow,Residential,858,1950,66,"$352,400",reroof 12/4/14,expired on 6/7/15,NaN,NaN,Chimney falling hazard,0,0,2,38.29349,-122.309858,84.27787934,36.74588665,0.444691495,74.81934408,0,15085,22.85191956,45.59819413,,
564,2707 LAUREL ST,South,0,Yellow,Residential,1470,1949,67,"$524,400",NaN,NaN,NaN,NaN,Chimney fell on roof and on ground,0,0,2,38.293646,-122.306182,84.27787934,36.74588665,0.444691495,74.81934408,0,15085,22.85191956,45.59819413,,
565,2607 LAUREL ST,South,0,Yellow,Commercial,2400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CMU bldg wall & the bld. Wall are adjoined. CMU barrier wall has been red tagged. OK to occupy,0,0,2,38.293945,-122.304564,84.27787934,36.74588665,0.444691495,74.81934408,0,15085,22.85191956,45.59819413,,
